Entity ID,Acquisition Date,Publication Date,Resolution,Date Updated,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
SRTM1N00E006V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,1°00'00"N,6°00'00"E,1°00'00"N,7°00'00"E,0°00'00"N,7°00'00"E,0°00'00"N,6°00'00"E,1,6,1,7,0,7,0,6,SRTM1N00E006V3,SRTM1N00E006V3
SRTM1N00E009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.395319-05,1°00'00"N,9°00'00"E,1°00'00"N,10°00'00"E,0°00'00"N,10°00'00"E,0°00'00"N,9°00'00"E,1,9,1,10,0,10,0,9,SRTM1N00E009V3,SRTM1N00E009V3
SRTM1N00E010V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,1°00'00"N,10°00'00"E,1°00'00"N,11°00'00"E,0°00'00"N,11°00'00"E,0°00'00"N,10°00'00"E,1,10,1,11,0,11,0,10,SRTM1N00E010V3,SRTM1N00E010V3
SRTM1N00E011V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.395319-05,1°00'00"N,11°00'00"E,1°00'00"N,12°00'00"E,0°00'00"N,12°00'00"E,0°00'00"N,11°00'00"E,1,11,1,12,0,12,0,11,SRTM1N00E011V3,SRTM1N00E011V3
SRTM1N00E012V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,1°00'00"N,12°00'00"E,1°00'00"N,13°00'00"E,0°00'00"N,13°00'00"E,0°00'00"N,12°00'00"E,1,12,1,13,0,13,0,12,SRTM1N00E012V3,SRTM1N00E012V3
SRTM1N00E013V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,1°00'00"N,13°00'00"E,1°00'00"N,14°00'00"E,0°00'00"N,14°00'00"E,0°00'00"N,13°00'00"E,1,13,1,14,0,14,0,13,SRTM1N00E013V3,SRTM1N00E013V3
SRTM1N00E014V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,1°00'00"N,14°00'00"E,1°00'00"N,15°00'00"E,0°00'00"N,15°00'00"E,0°00'00"N,14°00'00"E,1,14,1,15,0,15,0,14,SRTM1N00E014V3,SRTM1N00E014V3
SRTM1N00E015V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,1°00'00"N,15°00'00"E,1°00'00"N,16°00'00"E,0°00'00"N,16°00'00"E,0°00'00"N,15°00'00"E,1,15,1,16,0,16,0,15,SRTM1N00E015V3,SRTM1N00E015V3
SRTM1N00E016V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,1°00'00"N,16°00'00"E,1°00'00"N,17°00'00"E,0°00'00"N,17°00'00"E,0°00'00"N,16°00'00"E,1,16,1,17,0,17,0,16,SRTM1N00E016V3,SRTM1N00E016V3
SRTM1N00E017V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,1°00'00"N,17°00'00"E,1°00'00"N,18°00'00"E,0°00'00"N,18°00'00"E,0°00'00"N,17°00'00"E,1,17,1,18,0,18,0,17,SRTM1N00E017V3,SRTM1N00E017V3
